month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
1,2,0,-16,-4,1020,0,1.79,0,0,129
1,2,1,-15,-4,1020,0,2.68,0,0,148
1,2,2,-11,-5,1021,0,3.57,0,0,159
1,2,3,-7,-5,1022,0,5.36,1,0,181
1,2,4,-7,-5,1022,0,6.25,2,0,138
1,2,5,-7,-6,1022,0,7.14,3,0,109
1,2,6,-7,-6,1023,0,8.93,4,0,105
1,2,7,-7,-5,1024,0,10.72,0,0,124
1,2,8,-8,-6,1024,0,12.51,0,0,120
1,2,9,-7,-5,1025,0,14.3,0,0,132
1,2,10,-7,-5,1026,0,17.43,1,0,140
1,2,11,-8,-5,1026,0,20.56,0,0,152
1,2,12,-8,-5,1026,0,23.69,0,0,148
1,2,13,-8,-5,1025,0,27.71,0,0,164
1,2,14,-9,-5,1025,0,31.73,0,0,158
1,2,15,-9,-5,1025,0,35.75,0,0,154
1,2,16,-9,-5,1026,0,37.54,0,0,159
1,2,17,-8,-5,1027,0,39.33,0,0,164
1,2,18,-8,-5,1027,0,42.46,0,0,170
1,2,19,-8,-5,1028,0,44.25,0,0,149
1,2,20,-7,-5,1028,0,46.04,0,0,154
1,2,21,-7,-5,1027,0,49.17,1,0,164
1,2,22,-8,-6,1028,0,52.3,2,0,156
1,2,23,-8,-6,1027,0,55.43,3,0,126
1,3,0,-7,-6,1027,0,58.56,4,0,90
1,3,1,-8,-6,1026,0,61.69,5,0,63
1,3,2,-8,-7,1026,0,65.71,6,0,65
1,3,3,-8,-7,1025,0,68.84,7,0,55
1,3,4,-8,-7,1024,0,72.86,8,0,65
1,3,5,-9,-8,1024,0,76.88,9,0,83
1,3,6,-10,-8,1024,0,80.9,10,0,91
1,3,7,-10,-9,1024,0,84.92,11,0,86
1,3,8,-10,-9,1024,0,89.84,12,0,82
1,3,9,-11,-9,1023,0,93.86,13,0,86
1,3,10,-11,-9,1023,0,97.88,15,0,78
1,3,11,-11,-9,1022,0,102.8,16,0,98
1,3,12,-11,-9,1021,0,105.93,17,0,107
1,3,13,-11,-9,1020,0,111.74,19,0,90
1,3,14,-11,-9,1020,0,116.66,20,0,96
1,3,15,-11,-9,1020,0,121.58,21,0,95
1,3,16,-11,-9,1020,0,124.71,22,0,86
1,3,17,-11,-9,1020,0,127.84,23,0,70
1,3,18,-11,-9,1021,1,0.89,24,0,61
1,3,19,-11,-9,1022,1,1.78,25,0,53
1,3,20,-10,-9,1022,2,4.02,26,0,71
1,3,21,-11,-10,1023,2,7.15,27,0,72
1,3,22,-11,-9,1023,2,11.17,0,0,76
1,3,23,-12,-11,1023,2,14.3,0,0,73
1,4,0,-14,-12,1023,2,16.09,0,0,79
1,4,1,-16,-9,1023,2,21.9,0,0,58
1,4,2,-17,-10,1024,2,29.95,0,0,25
1,4,3,-18,-11,1024,2,39.78,0,0,26
1,4,4,-19,-11,1025,2,48.72,0,0,28
1,4,5,-20,-12,1026,2,55.87,0,0,26
1,4,6,-21,-12,1027,2,64.81,0,0,20
1,4,7,-21,-13,1027,2,73.75,0,0,29
1,4,8,-22,-13,1028,2,80.9,0,0,26
1,4,9,-22,-13,1029,2,90.73,0,0,27
1,4,10,-22,-12,1030,2,100.56,0,0,27
1,4,11,-23,-12,1031,2,108.61,0,0,25
1,4,12,-21,-11,1030,2,117.55,0,0,29
1,4,13,-20,-10,1030,2,127.38,0,0,32
1,4,14,-21,-10,1030,2,136.32,0,0,28
1,4,15,-21,-9,1030,2,145.26,0,0,29
1,4,16,-21,-9,1031,2,152.41,0,0,30
1,4,17,-20,-11,1032,2,159.56,0,0,30
1,4,18,-23,-11,1032,2,165.37,0,0,28
1,4,19,-21,-12,1033,2,171.18,0,0,26
1,4,20,-24,-12,1034,2,180.12,0,0,31
1,4,21,-24,-13,1034,2,187.27,0,0,33
1,4,22,-24,-13,1035,2,195.32,0,0,29
1,4,23,-26,-15,1035,2,198.45,0,0,31
1,5,0,-26,-17,1035,2,201.58,0,0,30
1,5,1,-26,-18,1035,2,205.6,0,0,34
1,5,2,-26,-19,1035,2,208.73,0,0,27
1,5,3,-27,-18,1035,2,213.65,0,0,25
1,5,4,-27,-19,1035,2,218.57,0,0,28
1,5,5,-27,-16,1034,3,4.92,0,0,28
1,5,6,-26,-16,1035,3,8.05,0,0,27
1,5,7,-27,-16,1034,3,13.86,0,0,27
1,5,8,-26,-16,1035,3,18.78,0,0,27
1,5,9,-26,-15,1035,3,24.59,0,0,29
1,5,10,-25,-14,1035,3,29.51,0,0,36
1,5,11,-25,-13,1035,3,34.43,0,0,30
1,5,12,-25,-12,1034,3,39.35,0,0,27
1,5,13,-24,-11,1032,3,41.14,0,0,39
1,5,14,-22,-11,1032,1,0.89,0,0,41
1,5,15,-23,-11,1031,2,1.79,0,0,33
1,5,16,-24,-11,1031,2,3.58,0,0,50
1,5,17,-23,-11,1031,2,5.37,0,0,56
1,5,18,-23,-11,1032,2,7.16,0,0,59
1,5,19,-22,-13,1033,2,10.29,0,0,60
1,5,20,-22,-12,1033,2,13.42,0,0,84
1,5,21,-24,-18,1033,2,16.55,0,0,106
1,5,22,-22,-13,1034,2,20.57,0,0,66
1,5,23,-22,-16,1033,2,23.7,0,0,50
1,6,0,-25,-17,1033,2,26.83,0,0,56
1,6,1,-25,-14,1033,3,4.02,0,0,77
1,6,2,-26,-14,1034,3,8.04,0,0,50
1,6,3,-26,-14,1033,3,13.85,0,0,44
1,6,4,-26,-14,1033,3,17.87,0,0,27
1,6,5,-26,-14,1033,3,23.68,0,0,28
1,6,6,-26,-14,1033,3,28.6,0,0,21
1,6,7,-26,-15,1034,3,33.52,0,0,25
1,6,8,-26,-14,1034,3,39.33,0,0,20
1,6,9,-25,-13,1035,3,44.25,0,0,29
1,6,10,-25,-12,1035,3,50.06,0,0,34
1,6,11,-24,-11,1035,3,54.98,0,0,42
1,6,12,-24,-10,1034,3,59,0,0,28
1,6,13,-22,-10,1033,2,4.02,0,0,36
1,6,14,-22,-9,1033,2,5.81,0,0,48
1,6,15,-22,-8,1033,1,0.89,0,0,49
1,6,16,-22,-8,1033,2,1.79,0,0,52
1,6,17,-21,-9,1033,2,3.58,0,0,56
1,6,18,-22,-9,1033,2,5.37,0,0,96
1,6,19,-22,-14,1034,1,0.89,0,0,75
1,6,20,-22,-12,1035,2,1.79,0,0,105
1,6,21,-21,-14,1034,2,3.58,0,0,132
1,6,22,-22,-16,1035,2,5.37,0,0,93
1,6,23,-21,-16,1035,2,7.16,0,0,131
1,7,0,-21,-16,1035,2,8.95,0,0,127
1,7,1,-21,-16,1035,1,0.45,0,0,130
1,7,2,-22,-18,1036,1,1.34,0,0,43
1,7,3,-23,-15,1036,2,4.02,0,0,37
1,7,4,-24,-16,1035,2,7.15,0,0,30
1,7,5,-25,-15,1035,2,10.28,0,0,28
1,7,6,-24,-15,1035,2,14.3,0,0,24
1,7,7,-25,-13,1036,3,4.92,0,0,23
1,7,8,-24,-14,1036,2,4.02,0,0,24
1,7,9,-23,-12,1036,2,8.94,0,0,27
1,7,10,-22,-11,1036,2,12.96,0,0,40
1,7,11,-20,-10,1036,2,16.09,0,0,42
1,7,12,-21,-9,1035,2,19.22,0,0,42
1,7,13,-21,-8,1034,2,21.01,0,0,55
1,7,14,-20,-7,1033,2,22.8,0,0,52
1,7,15,-20,-7,1032,2,24.59,0,0,51
