,0
0,0.0015604682
1,0.001300389
2,0.0010403115
3,0.0010403115
4,0.0010403115
5,0.0067620296
6,0.015864762
7,0.017685307
8,0.024707412
9,0.024967493
10,0.02522757
11,0.025747726
12,0.04811444
13,0.17659299
14,0.17841353
15,0.6470742
16,0.6520157
17,0.55552673
18,0.47906378
19,0.2946684
20,0.42132643
21,0.19115736
22,0.07724318
23,0.10143044
24,0.10533161
25,0.10533161
26,0.10507152
27,0.10481145
28,0.1042913
29,0.10481145
30,0.10559169
31,0.10507152
32,0.1042913
33,0.10351106
34,0.10403123
35,0.10481145
36,0.10611185
37,0.10767231
38,0.10689209
39,0.10741223
40,0.10767231
41,0.10689209
42,0.10585176
43,0.10611185
44,0.10689209
45,0.10637192
46,0.15344603
47,0.16358909
48,0.15656698
49,0.15526658
50,0.15500651
51,0.15656698
52,0.15604682
53,0.15578674
54,0.15734722
55,0.15630691
56,0.17373212
57,0.17867361
58,0.18023409
59,0.19011705
60,0.17997399
61,0.1682705
62,0.16957088
63,0.16254877
64,0.2808843
65,0.35968792
66,0.34720418
67,0.3339402
68,0.3412224
69,0.35136542
70,0.35136542
71,0.35344604
72,0.36202863
73,0.36280885
74,0.35734722
75,0.35968792
76,0.35604683
77,0.36540964
78,0.40104035
79,0.5315995
80,0.519636
81,0.3539662
82,0.35812744
83,0.3859558
84,0.39739925
85,0.4015605
86,0.36072823
87,0.44213268
88,0.3895969
89,0.3908973
90,0.3825748
91,0.35916778
92,0.30611187
93,0.24213266
94,0.23641095
95,0.23693109
96,0.23641095
97,0.23615086
98,0.45487648
99,0.5204162
100,0.5235371
101,0.5211964
102,0.5154747
103,0.50767237
104,0.50351113
105,0.506372
106,0.51131344
107,0.5110534
108,0.50533164
109,0.50429136
110,0.42678806
111,0.22314695
112,0.22236672
113,0.22366711
114,0.22106634
115,0.2949285
116,0.5019506
117,0.49830952
118,0.49700913
119,0.38439536
120,0.19817947
121,0.17243174
122,0.16540962
123,0.163329
124,0.1516255
125,0.15006503
126,0.14980493
127,0.1609883
128,0.16540962
129,0.1646294
130,0.16436931
131,0.16358909
132,0.16280885
133,0.16436931
134,0.16410923
135,0.16306892
136,0.1622887
137,0.16202863
138,0.163329
139,0.16280885
140,0.16254877
141,0.16254877
142,0.1539662
143,0.14980493
144,0.14980493
145,0.14902471
146,0.14902471
147,0.14720416
148,0.1479844
149,0.14876464
150,0.15006503
151,0.15266581
152,0.15500651
153,0.15474643
154,0.15734722
155,0.15968792
156,0.15786737
157,0.15578674
158,0.15526658
159,0.15448634
160,0.1456437
161,0.14382315
162,0.14278285
163,0.1479844
164,0.146684
165,0.14538363
166,0.14512354
167,0.14902471
168,0.16046815
169,0.1609883
170,0.16072822
171,0.15552667
172,0.15968792
173,0.4283485
174,0.44473347
175,0.44421327
176,0.44265282
177,0.44265282
178,0.44473347
179,0.44499353
180,0.44265282
181,0.44239274
182,0.44213268
183,0.429909
184,0.4288687
185,0.4288687
186,0.42912877
187,0.37295192
188,0.13888167
189,0.13784134
190,0.1373212
191,0.13940182
192,0.14096229
193,0.14018205
194,0.13810144
195,0.1373212
196,0.13706112
197,0.13810144
198,0.14486346
199,0.14954486
200,0.14980493
201,0.1539662
202,0.15084526
203,0.14954486
204,0.14850456
205,0.14850456
206,0.14694409
207,0.14044215
208,0.14512354
209,0.15240574
210,0.15084526
211,0.1516255
212,0.15136541
213,0.14980493
214,0.1503251
215,0.14902471
216,0.1492848
217,0.14876464
218,0.14824447
219,0.1479844
220,0.16020806
221,0.15942782
222,0.15942782
223,0.15942782
224,0.14850456
225,0.1479844
226,0.14824447
227,0.14850456
228,0.14850456
229,0.14980493
230,0.14902471
231,0.14980493
232,0.14876464
233,0.14876464
234,0.14824447
235,0.14694409
236,0.146684
237,0.14616385
238,0.14616385
239,0.14746423
240,0.14694409
241,0.14746423
242,0.14746423
243,0.146684
244,0.13758127
245,0.13628088
246,0.14824447
247,0.14590378
248,0.14694409
249,0.15890768
250,0.16202863
251,0.16150846
252,0.16124839
253,0.16020806
254,0.15266581
255,0.14850456
256,0.14772433
257,0.14772433
258,0.14720416
259,0.14746423
260,0.14772433
261,0.1479844
262,0.1479844
263,0.14746423
264,0.14044215
265,0.13420026
266,0.13420026
267,0.13315997
268,0.13394019
269,0.13524057
270,0.1349805
271,0.13524057
272,0.13420026
273,0.13472041
274,0.13472041
275,0.13654096
276,0.13550064
277,0.1349805
278,0.1349805
279,0.13394019
280,0.13524057
281,0.13602081
282,0.1373212
283,0.13706112
284,0.13576074
285,0.1349805
286,0.13576074
287,0.1349805
288,0.1349805
289,0.1349805
290,0.1503251
291,0.1479844
292,0.14902471
293,0.15656698
294,0.15968792
295,0.15968792
296,0.15890768
297,0.15812744
298,0.15942782
299,0.15838751
300,0.14252275
301,0.021846553
302,0.020026008
303,0.012483744
304,0.0130039025
305,0.012743821
306,0.012743821
307,0.012743821
308,0.015084526
309,0.016124835
310,0.015344603
311,0.27854356
312,0.31703514
313,0.3149545
314,0.31573474
315,0.3139142
316,0.31469443
317,0.31417426
318,0.31547466
319,0.31547466
320,0.31625488
321,0.33550066
322,0.34408322
323,0.3469441
324,0.34252277
325,0.34356308
326,0.35110536
327,0.34876463
328,0.34954488
329,0.34980497
330,0.12795839
331,0.059817947
332,0.11677504
333,0.34746426
334,0.35084528
335,0.3042913
336,0.049674906
337,0.049674906
338,0.049934983
339,0.050715216
340,0.053315997
341,0.05279585
342,0.052275687
343,0.05279585
344,0.05279585
345,0.053315997
346,0.05305592
347,0.05305592
348,0.05461639
349,0.05643694
350,0.057217173
351,0.05643694
352,0.056957096
353,0.055396624
354,0.0556567
355,0.064499356
356,0.06423928
357,0.06345904
358,0.08166451
359,0.059557877
360,0.060078032
361,0.060078032
362,0.06605983
363,0.069961
364,0.071001306
365,0.07074123
366,0.06345904
367,0.06475943
368,0.062938884
369,0.06215865
370,0.061898574
371,0.061898574
372,0.059037715
373,0.05279585
374,0.051755533
375,0.051235378
376,0.051495448
377,0.0509753
378,0.07204162
379,0.050715216
380,0.049674906
381,0.04915475
382,0.049934983
383,0.08348506
384,0.22314695
385,0.077763334
386,0.049934983
387,0.049674906
388,0.04941483
389,0.10117035
390,0.12691808
391,0.048894674
392,0.048894674
393,0.048634596
394,0.04915475
395,0.04941483
396,0.043433033
397,0.047074124
398,0.044993505
399,0.0509753
400,0.054096237
401,0.054356314
402,0.053576082
403,0.076723024
404,0.14122237
405,0.053836152
406,0.053576082
407,0.053576082
408,0.053315997
409,0.047594287
410,0.04369311
411,0.051235378
412,0.05669701
413,0.05591678
414,0.055396624
415,0.05513654
416,0.05461639
417,0.05461639
418,0.054096237
419,0.054096237
420,0.05461639
421,0.12951887
422,0.053836152
423,0.05461639
424,0.055396624
425,0.0556567
426,0.05513654
427,0.05669701
428,0.056176856
429,0.0556567
430,0.05461639
431,0.05461639
432,0.054096237
433,0.053836152
434,0.06423928
435,0.06371912
436,0.06345904
437,0.064499356
438,0.06553967
439,0.13966191
440,0.058257483
441,0.026007803
442,0.027308194
443,0.024187258
444,0.023927176
445,0.023927176
446,0.023927176
447,0.024447335
448,0.023407025
449,0.023146948
450,0.03042913
451,0.019245775
452,0.010663198
453,0.010403121
454,0.015344603
455,0.021846553
456,0.021846553
457,0.09024708
458,0.021326398
459,0.020806244
460,0.02210663
461,0.02158648
462,0.020286085
463,0.020026008
464,0.01794538
465,0.016384916
466,0.026527958
467,0.04447335
468,0.042132646
469,0.04187256
470,0.041352414
471,0.040312096
472,0.039531864
473,0.037711315
474,0.03615085
475,0.10923279
476,0.09752927
477,0.1823147
478,0.18075423
479,0.17867361
480,0.17477244
481,0.17009103
482,0.17191158
483,0.1703511
484,0.16749026
485,0.15786737
486,0.15552667
487,0.15448634
488,0.15734722
489,0.15760729
490,0.15786737
491,0.15942782
492,0.15994799
493,0.22938883
494,0.15968792
495,0.15890768
496,0.15968792
497,0.16436931
498,0.1659298
499,0.16514955
500,0.16644993
501,0.1680104
502,0.16879064
503,0.16957088
504,0.16879064
505,0.16749026
506,0.16436931
507,0.15890768
508,0.15786737
509,0.1586476
510,0.15994799
511,0.23016906
512,0.15214564
513,0.14746423
514,0.14694409
515,0.14694409
516,0.14772433
517,0.14772433
518,0.14746423
519,0.14772433
520,0.14694409
521,0.14720416
522,0.1479844
523,0.14720416
524,0.14746423
525,0.146684
526,0.14694409
527,0.15318596
528,0.1609883
529,0.2353706
530,0.16957088
531,0.16957088
532,0.16931081
533,0.16931081
534,0.16853057
535,0.16723017
536,0.16879064
537,0.16983095
538,0.16254877
539,0.1609883
540,0.16072822
541,0.16202863
542,0.16202863
543,0.16280885
544,0.16384916
545,0.16384916
546,0.16358909
547,0.2226268
548,0.17347205
549,0.16723017
550,0.16410923
551,0.16358909
552,0.16280885
553,0.16124839
554,0.16124839
555,0.16176853
556,0.16124839
557,0.1609883
558,0.16124839
559,0.15968792
560,0.16046815
561,0.1680104
562,0.16879064
563,0.25981796
564,0.16983095
565,0.16957088
566,0.16879064
567,0.16775033
568,0.16671002
569,0.16775033
570,0.15994799
571,0.15604682
572,0.146684
573,0.14720416
574,0.15422627
575,0.15812744
576,0.15708713
577,0.1586476
578,0.15890768
579,0.15968792
580,0.1586476
581,0.15734722
582,0.15682705
583,0.15656698
584,0.15760729
585,0.1586476
586,0.15916775
587,0.16566971
588,0.17165151
589,0.1726918
590,0.1726918
591,0.17113134
592,0.18491548
593,0.2119636
594,0.21300392
595,0.21326399
596,0.21352406
597,0.2119636
598,0.2119636
599,0.21248375
600,0.20442134
601,0.20390117
602,0.19557868
603,0.19427828
604,0.19453837
605,0.19401821
606,0.1929779
607,0.19401821
608,0.19427828
609,0.19427828
610,0.19375813
611,0.19375813
612,0.19141744
613,0.19219768
614,0.19167751
615,0.1906372
616,0.19193758
617,0.19141744
618,0.19193758
619,0.19219768
620,0.19037712
621,0.1882965
622,0.18751627
623,0.18543564
624,0.18517557
625,0.1929779
626,0.19635892
627,0.19817947
628,0.24551368
629,0.24811444
630,0.2452536
631,0.23146945
632,0.22184657
633,0.22522756
634,0.18725617
635,0.18517557
636,0.21170352
637,0.20624188
638,0.21950586
639,0.2189857
640,0.21846554
641,0.21820547
642,0.21690509
643,0.2179454
644,0.21846554
645,0.21846554
646,0.21924578
647,0.22418727
648,0.23693109
649,0.2795839
650,0.24733421
651,0.22860861
652,0.22704813
653,0.1102731
654,0.093107946
655,0.09284786
656,0.093107946
657,0.09674904
658,0.1029909
659,0.1029909
660,0.10247075
661,0.10169052
662,0.10143044
663,0.10143044
664,0.10143044
665,0.10195059
666,0.098049425
667,0.09362809
668,0.09388818
669,0.093368016
670,0.09362809
671,0.09388818
672,0.09388818
673,0.093107946
674,0.09778934
675,0.146684
676,0.14694409
677,0.11651497
678,0.06892068
679,0.06840053
680,0.069440834
681,0.06788037
682,0.07516256
683,0.093107946
684,0.10611185
685,0.09960989
686,0.12587775
687,0.14044215
688,0.12015606
